,Attendances 4 hours or less,Attendances over 4 hours,Total attendances,% 4 Hours or Less,total available beds,total occupied beds,% occupied,workforce stats 
2011/12,"20,756,459","724,943","21,481,402",96.6%,554296,"472,638",85%,"61,411"
2012/13,"20,837,226","901,411","21,738,637",95.9%,547068,"471,877",86.2%,"63,555"
2013/14,"20,839,471","939,186","21,778,657",95.7%,543797,469352,86.3%,"65,595"
2014/15,"20,933,643","1,421,138","22,354,781",93.6%,542025,472840,87.2%,"69,523"
2015/16,"21,065,455","1,854,980","22,920,435",91.9%,524290,457312,87.2%,"71,825"
2016/17,"20,821,861","2,540,440","23,362,301",89.1%,521828,460624,88.2%,"73,854"
2017/18,"21,051,433","2,778,687","23,830,120",88.3%,516919,455778,88.2%,"76,923"
2018/19,"21,850,979","2,976,003","24,826,982",88.0%,513530,451974,88%,"81,475"
2019/20,"19,137,676","3,599,905","25,017,116",84.2%,512862,451278,88%,"87,608"
2020/21,"13,454,542","2,039,343","17,429,559",86.8%,483022,367256,76%,"97,473"
2021/22,"16,639,501","5,042,190","24,374,967",76.7%,504127,432267,85.7%,"105,551"
2022/23,"16,017,093","6,606,765","25,348,842",70.8%,519032,461347,88.9%,"111,371"
2023/24,"18,653,644","7,203,870","26,321,069",72.1%,522110,465225,89.1%,"118,074"
